Agency - Agency,Commodity - Commodity,Supplier - Common Supplier,Ordered Date,PO #,PO amount
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6457135:PAPER, POSTER, ROLL",LAKESHORE LEARNING MATERIALS,12-Nov-14,PO510076,15.19
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)",FOLLETT SCHOOL SOLUTIONS,24-Dec-14,PO513389,68.97
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,BOOK LABELS,FOLLETT SCHOOL SOLUTIONS,10-Feb-15,PO515452,140
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,13-Nov-14,PO510219,911.46
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9628700:Travel, Local (Provided by Third Party)",BATTLE'S TRANSPORTATION,27-Feb-15,PO515984-V2,518
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9625100:Laminating Services,MDM Office Systems DBA Standard Office Supply,23-Feb-15,PO515989,74.13
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151264:REFERENCE BOOKS, SECRETARIAL AND GENERAL OFFICE INSTRUCTION",INTAC INC,3-Dec-14,PO511872,54.4
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BINDERS, RECYCLED, 3 RING, LOOSE LEAF, POLYETHYLENE FLEXIBLE COVER FOR 11 IN. X 8-1/2 IN. SHEETS,. AVAILABLE IN ROYAL BLUE, WHITE, BLACK, GREEN, AND RED",AMERICAN EXPRESS COMPANY,17-Nov-14,PO510568,"6,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",SCHOOL SPECIALTY,16-Jan-15,PO514252,74.78
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,8.54
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,25.54
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,22.18
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,23.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,17.04
SETTLEMENTS AND JUDGMENTS FUND,9187400:Legal Consulting,Gilardi & Co LLC,21-Oct-14,PO507774,"28,096.25"
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,12-Feb-15,PO515604,5.99
COUNCIL OF THE DISTRICT OF COLUMBIA,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","KERLEY SIGNS, INC.",17-Oct-14,PO507536,"14,420.26"
METROPOLITAN POLICE DEPARTMENT,9815600:Police Equipment Supplies Rental or Lease,"Atlantic Tactical, Inc",27-Jan-15,PO514654,161.97
DEPARTMENT OF GENERAL SERVICES,"9881532:CHAIN LINK FENCE REMOVAL, AND REMOVAL AND RE-ERECTION. THIS WORK SHALL CONSIST OF THE REMOVAL AND SATISFACTORY DISPOSAL OF EXISTING CHAIN LINK FENCING,THE REMOVAL OF EXISTING FENCING AND RE-ERECTION, AND REMOVAL AND RELOCATING AT ANOTHER LOCATION.",LONG FENCE COMPANY INC,15-Oct-14,PO507233,"50,000.00"
DEPARTMENT OF GENERAL SERVICES,"9103800:Insulation and Asbestos Installation, Maintenance, Repair and Removal Services (Includes Inspection and Monitoring)",JJPS INC.,27-Oct-14,PO508439,"371,491.90"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"6453337:PAPER, COPIER, MULTI-PURPOSE",METROPOLITAN OFFICE PRODUCTS,14-Nov-14,PO510409,"35,637.00"
SPECIAL EDUCATION TRANSPORTATION,"9598400:Towing Services, Marine",JOHN JOHN INC T/A ANT TOWING & STORAGE,17-Oct-14,PO507596,"100,000.00"
OFFICE OF MUNICIPAL PLANNING,"9610127:ARCHEOLOGICAL SERVICES, PROFESSIONAL",LaMarise Charde Reid,19-Nov-14,PO510777,"50,000.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",DLT SOLUTIONS INC,14-Nov-14,PO509893-V2,"23,401.95"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","Sirius Computer Solutions, Inc",25-Nov-14,PO511325,"4,114.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","The Pittman Group, Inc DBA VANTIX",13-Nov-14,PO508875-V2,"6,512.66"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9183000:Computer Network Consulting,"OST, Inc.",25-Nov-14,PO505346-V2,"120,717.12"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS",Integrated Power Sources of VA,21-Jan-15,PO514393,12
D.C. NATIONAL GUARD,"6056010:SHARPENERS, PENCIL, BATTERY OPERATED, AUTOMATIC START/STOP",LASER ART INC,13-Jan-15,PO514070,250.32
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,ESQUIRE DEPOSITION SOLUTIONS,2-Dec-14,PO510195-V2,620.8
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"OLENDER REPORTING, INC.",22-Oct-14,PO507902,30
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,Charles J. Key,19-Feb-15,PO514056-V3,27
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,Capital Reporting Company,6-Oct-14,PO489312-V3,465.8
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",CONGRESSIONAL CHORUS,31-Oct-14,PO509019,"50,000.00"
DEPARTMENT OF EMPLOYMENT SERVICES,"6003850:COPIERS, COLOR, NEW",XEROX CORPORATION,11-Feb-15,PO515510,"11,190.96"
DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),TONI THOMAS ASSOCIATES INC,23-Feb-15,PO515926,"4,000.00"
DEPARTMENT OF HEALTH,"9846025:RENTAL OR LEASE, DIGITAL PRINTER SYSTEMS, INCLUDES MAINTENANCE","CANON BUSINESS SOLUTIONS, INC",30-Dec-14,PO513589,"228,047.16"
DEPARTMENT ON DISABILITY SERVICES,9625800:Professional Services (Not Otherwise Classified),DR ANN L B WILLIAMS,24-Oct-14,PO506378-V2,"79,497.60"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),FAMILY & CHILD SRVCS OF DC INC,7-Oct-14,PO506480,"2,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),HARRY JACKSON PEYTON,3-Nov-14,PO509247,"175,100.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),CARECO MENTAL HEALTH SERVICE I,4-Mar-15,PO513272-V2,"1,543,821.60"
DEPARTMENT OF TRANSPORTATION,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","BENTLEY SYSTEMS, INC.",24-Oct-14,PO508409,"14,007.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"3753078:SNACKS, BAKERY, VEND PACK","COMPASS GROUP USA, INC",5-Feb-15,PO515223,53.98
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2601633:CLEANING SUPPLIES AND EQUIPMENT, TOOTH",General Merchandise Supplies,16-Oct-14,PO507379,"1,065.05"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0454000:Flatware and Cutlery, Household",METROPOLITAN OFFICE PRODUCTS,12-Nov-14,PO510149,129.99
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6156230:PADS, BOND PAPER, FOR USE ON EASEL, WHITE",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,8-Dec-14,PO512245,241.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PAINTS, SCHOOL ART",SCHOOL SPECIALTY,4-Dec-14,PO512019,15.18
DC PUBLIC LIBRARY,9150300:Advertising/Public Relations,WASHINGTON BUSINESS JOURNAL,27-Feb-15,PO509444-V2,"4,007.00"
DC PUBLIC LIBRARY,"9065200:Interior Design, Space Planning, and Exhibits/Displays","THE GEORGETOWN DESIGN GROUP,IN",3-Nov-14,PO495010-V2,"52,005.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0207800:Recycled Agricultural Equipment Accessories and Supplies,AMERICAN EXPRESS COMPANY,11-Dec-14,PO512481,"25,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0207800:Recycled Agricultural Equipment Accessories and Supplies,SCHOOL SPECIALTY,16-Jan-15,PO514253,144.4
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9625800:Professional Services (Not Otherwise Classified),Vaspack Inc dba/Adventure Link,20-Oct-14,PO507695,450
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,5.88
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247100:School Operation and Management Services,Capital Services and Supplies,24-Nov-14,PO511204,338.2
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,20-Jan-15,PO514368,296.82
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1956020:STOPWATCHES, DIGITAL, LIQUID CRYSTAL DISPLAY, POLYCARBONATE CASE, BATTERY OPERATED, WITH LANYARD.",LAKESHORE LEARNING MATERIALS,12-Nov-14,PO510076,284.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,"OST, Inc.",21-Jan-15,PO511728-V2,"53,033.40"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",LASER ART INC,12-Feb-15,PO515563,13.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",AMERICAN EXPRESS COMPANY,26-Nov-14,PO511434,"4,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,15.34
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",HOUGHTON MIFFLIN CO INC,12-Dec-14,PO512572,235.37
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,28-Jan-15,PO514705,20.2
MEDICAL LIABILITY CAPTIVE INS AGENCY,9186900:Insurance Consulting,"AON RISK SERVICES, INC OF WASH",10-Dec-14,PO512387,"42,325.50"
CRIMINAL JUSTICE COORDINATING COUNCIL,9625800:Professional Services (Not Otherwise Classified),Ross Professional Services,4-Mar-15,PO508943-V3,"22,000.00"
DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",JUSTICE RESEARCH & STATISTICS,5-Nov-14,PO509412,"93,399.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,9180600:Administrative Consulting,Nationwide Recovery Service,9-Dec-14,PO512271,"48,333.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,9180600:Administrative Consulting,CONSERVE,9-Dec-14,PO512263,"26,000.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,9463300:Collection Services,LexisNexis Risk Solutions FL Inc,23-Dec-14,PO513301,631.76
OFFICE OF THE CHIEF FINANCIAL OFFICER,9528500:Support Services,MIDTOWN PERSONNEL INC,28-Jan-15,PO514732,"117,936.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","Atlas Communications Technology, Inc.",15-Oct-14,PO507264,"48,000.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",Dell Computer Corp.,15-Oct-14,PO507338,"6,520.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9625800:Professional Services (Not Otherwise Classified),"Clark Transporation, LLC",20-Nov-14,PO510986,"9,750.00"
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,Capital Reporting Company,6-Oct-14,PO489312-V3,550.8
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,28-Oct-14,PO508649,66.6
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,4-Feb-15,PO515094,113.4
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",WASHINGTON DRAMA SOCIETY,31-Oct-14,PO508980,"70,000.00"
DEPARTMENT OF PARKS AND RECREATION,"0373400:Decorations: Christmas, Party, etc.",THE HAMILTON GROUP,10-Dec-14,PO512374,1.2
COUNCIL OF THE DISTRICT OF COLUMBIA,6007240:FAX MACHINE/COPIER/SCANNER/COLOR PRINTER COMBINATION,"CDW Government, Inc.",5-Feb-15,PO515195,"9,623.40"
OFFICE OF POLICE COMPLAINTS,"9614900:Legal Services, Attorneys",Nicole Frances Beck,26-Feb-15,PO516163,"9,000.00"
OFFICE OF THE MAYOR,9180600:Administrative Consulting,URBAN ALLIANCE FOUNDATION,2-Mar-15,PO516311,"12,500.00"
DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",DC RAPE CRISIS CENTER,24-Dec-14,PO513395,"38,000.00"
DEPARTMENT OF GENERAL SERVICES,"6008060:POSTAGE METER SUPPLIES, BRAND LISTED OR EQUAL",PITNEY BOWES,30-Oct-14,PO508899,"350,000.00"
DEPARTMENT OF GENERAL SERVICES,9616257:POSITION ANALYSIS SERVICES,MINDFINDERS INC,9-Dec-14,PO512257,"44,309.76"
OFFICE OF THE CHIEF FINANCIAL OFFICER,9625800:Professional Services (Not Otherwise Classified),MDM Office Systems DBA Standard Office Supply,23-Oct-14,PO484664-V3,"4,955.00"
DC STATE BOARD OF EDUCATION,9634800:Membership Dues,NATIONAL ASSN STATE BOARDS OF,4-Nov-14,PO509321,"25,071.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME","Inventory Advisors, LLC dba Ba",19-Dec-14,PO513127,44
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"WELCH CONSULTING, LTD.",11-Dec-14,PO512539,"1,500.00"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"AL BETZ & ASSOCIATES,INC",23-Oct-14,PO508194,39.9
DEPT. OF HOUSING AND COMM. DEVELOPMENT,4255448:MODULAR FURNITURE COMPONENTS,MDM Office Systems DBA Standard Office Supply,3-Feb-15,PO513005-V2,"755,706.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",THE NATIONAL MUSEUM OF WOMEN,31-Oct-14,PO509148,"45,000.00"
DEPARTMENT OF PARKS AND RECREATION,"0373400:Decorations: Christmas, Party, etc.",EMERGENCY 911 SECURITY,21-Nov-14,PO511021,8.68
DEPARTMENT OF EMPLOYMENT SERVICES,9560500:Business Research Services,Institute for Women's Policy Research,26-Nov-14,PO511499,"9,540.00"
DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),"Westlink Career Institute, LLC",27-Jan-15,PO514686,"4,450.00"
DEPARTMENT OF EMPLOYMENT SERVICES,9615600:Program/Project Development and Management Services,Opportunities Industrial Center,28-Jan-15,PO514786,"16,759.00"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME","TOTAL CARE SERVICES, INC.",10-Nov-14,PO509963,500
DEPARTMENT OF BEHAVIORAL HEALTH,"2853955:PARTS AND ACCESSORIES, STATIONARY TYPE GENERATORS","General Services, Inc.",1-Oct-14,PO505914,"2,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,"8408453:MONITORING EQUIPMENT, SECURITY, CLOSED CIRCUIT, FOR THE OHIO DEPT. OF YOUTH SERVICES",ALARM SECURITY GROUP LLC,19-Dec-14,PO513184,877.5
DEPUTY MAYOR FOR PLANNING AND ECON DEV,9103957:JANITORIAL/CUSTODIAL SERVICES,CAPITOL SVCS MGMT INC,30-Oct-14,PO508895,"41,145.67"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"3934382:CRACKERS, VARIETY SNACK",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,29-Jan-15,PO514790,56.44
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9200700:Applications Software for Microcomputer Systems: Business, Mathematical/Statistical, Medical, Scientific, etc.","IMPACT APPLICATIONS, INC",26-Nov-14,PO511459,"2,400.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6652411:BAGS, GARBAGE, PLASTIC",AMERICAN EXPRESS COMPANY,29-Oct-14,PO508734,"34,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9636400:Registration Fees,COUNCIL FOR EXCEPTION CHILD,27-Jan-15,PO514643,"1,590.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,SCHOOL SPECIALTY,20-Feb-15,PO510397-V2,15.39
"DEPART OF INSURANCE,SECURITIES & BANKING",9634800:Membership Dues,NORTH AMERICAN SECURETIS ADMIN,12-Feb-15,PO515623,"1,800.00"
DC PUBLIC LIBRARY,"9360900:Alarm Equipment Maintenance/Repair (Fire, etc.)","KEYSTONE US MANAGEMENT, INC",5-Nov-14,PO509454,"1,740.00"
DC PUBLIC LIBRARY,"2086775:SOFTWARE, MICROCOMPUTER, SUBSCRIPTIONS",DOCUMENT SYSTEMS INC,3-Nov-14,PO509212,"1,880.00"
DC PUBLIC LIBRARY,"4506154:PAILS, PAINT",General Merchandise Supplies,29-Oct-14,PO508773,"10,000.00"
DC PUBLIC LIBRARY,9625800:Professional Services (Not Otherwise Classified),"COARD CONSULTING, LLC",12-Nov-14,PO482571-V3,"76,230.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,5.04
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851350:SANITIZER, HAND, INSTANT, WATERLESS",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,18-Nov-14,PO510713,40.94
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2086775:SOFTWARE, MICROCOMPUTER, SUBSCRIPTIONS","Curriculum Associates, LLC",18-Nov-14,PO510667,288.15
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,SOUTHERN REGIONAL EDUCATION BD,13-Nov-14,PO510221,"2,200.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6209082:MARKER PENS, PAINT, PERMANENT, WATERPROOF",SCHOOL SPECIALTY,4-Dec-14,PO511998,3.38
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,22.04
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)",AMERICAN EXPRESS COMPANY,27-Feb-15,PO516187,"10,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",MACKIN LIBRARY MEDIA,18-Dec-14,PO513048,10.78
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",MACKIN LIBRARY MEDIA,18-Dec-14,PO513048,30.76
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,14.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",SCHOOL SPECIALTY,4-Mar-15,PO516451,208.5
OFFICE ON LATINO AFFAIRS,9625800:Professional Services (Not Otherwise Classified),SPANISH CATHOLIC CENTER,17-Dec-14,PO512966,"80,000.00"
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,17-Nov-14,PO510458,125.9
COUNCIL OF THE DISTRICT OF COLUMBIA,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",VICTOR HOLT PHOTOGRAPHY,12-Dec-14,PO512600,"1,200.00"
DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",Edgewood/Brookland Family Support,6-Oct-14,PO506242,"350,000.00"
CHILD AND FAMILY SERVICES AGENCY,9526800:Personal Care Services,Care.com,14-Oct-14,PO506760,"300,000.00"
DISTRICT DEPARTMENT OF THE ENVIRONMENT,"9982900:Computers, Parts and Supplies",Dell Computer Corp.,13-Jan-15,PO514067,264.77
OFFICE OF THE CHIEF FINANCIAL OFFICER,9180600:Administrative Consulting,DATA CAPTURE TECHNOLOGIES,23-Oct-14,PO488413-V4,"87,500.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","MVS, Inc.",30-Jan-15,PO514914,"170,077.77"
OFFICE OF THE CHIEF FINANCIAL OFFICER,9622400:Courier/Delivery Services (Including Air Courier Services),MIGUEL D. TARVER DBA/MDT RUSH,22-Oct-14,PO507889,"9,500.00"
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",MFRI,30-Jan-15,PO513712,750
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS",GRAYBAR ELECTRIC CO INC,23-Dec-14,PO513315,796.32
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS",Integrated Power Sources of VA,21-Jan-15,PO514393,80
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,NEAL R GROSS & CO INC,1-Oct-14,PO505804,20
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,NEAL R GROSS & CO INC,17-Oct-14,PO503939-V2,0
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",ARCH DEVELOPMENT CORPORATION,16-Dec-14,PO512778,"16,000.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",WASHINGTON THEATRE AWARDS SOC.,6-Nov-14,PO509635,"18,500.00"
DEPARTMENT OF CORRECTIONS,"2089415:SOFTWARE, MICROCOMPUTER, FORMS, APPLE/MACINTOSH COMPATIBLE, LATEST RELEASE OR VERSION LISTED",SOLARWINDS.NET,20-Jan-15,PO514344,"2,995.00"
DEPARTMENT OF EMPLOYMENT SERVICES,9625800:Professional Services (Not Otherwise Classified),"OST, Inc.",25-Nov-14,PO509567-V2,"57,727.07"
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"2009210:APPAREL, WORK, (MISC)",MORGANS INC,2-Feb-15,PO514991,"18,000.00"
DEPARTMENT OF HEALTH,"9626942:PERSONNEL SERVICES, TEMPORARY, BILINGUAL (ENGLISH/SPANISH)",MB STAFFING SERVICES LLC,30-Oct-14,PO508286-V2,"51,760.00"
BOARD OF ELECTIONS,"8017630:POSTERS, INFORMATIONAL",CBS OUTDOOR,2-Oct-14,PO505983,"12,000.85"
COUNCIL OF THE DISTRICT OF COLUMBIA,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OTIM WILLIAMS,LLC",9-Mar-15,PO516587,"2,000.00"
METROPOLITAN POLICE DEPARTMENT,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO505420-V2,"91,056.55"
OFFICE OF HUMAN RIGHTS,9567000:Research Services (Other Than Business),Aubrey De Angelis,26-Feb-15,PO516156,"1,000.00"
CHILD AND FAMILY SERVICES AGENCY,9186700:Human Services Consulting (To Include Mental Health Consulting Services),EAST RIVER FAMILY STREGTHENING,30-Dec-14,PO513552,"200,000.00"
DC BD OF ETHICS AND GOVT ACCOUNTABILITY,9625800:Professional Services (Not Otherwise Classified),inQbation LLC,29-Oct-14,PO508829,"13,985.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9392152:MAINTENANCE, MAINFRAME COMPUTER HARDWARE",Dell Computer Corp.,6-Oct-14,PO506276,"34,812.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",2-Dec-14,PO506630-V2,"47,783.04"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME","Networking For Future, Inc.",17-Dec-14,PO512922,322.31
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",23-Feb-15,PO515959,103.67
